year,state,establishments,workers,totalwages
2004,North Carolina -- Statewide,1791,23285,544897028
2005,North Carolina -- Statewide,1809,22073,546336355
2006,North Carolina -- Statewide,1806,21944,569703492
2007,North Carolina -- Statewide,1791,22505,612856071
2008,North Carolina -- Statewide,1873,22124,586863188
2009,North Carolina -- Statewide,1931,21897,569320998
2010,North Carolina -- Statewide,1957,21707,581393685
2011,North Carolina -- Statewide,1987,21255,576842214
2012,North Carolina -- Statewide,2021,21552,605193161
2013,North Carolina -- Statewide,2054,21281,615307698
2014,North Carolina -- Statewide,2090,21180,628104035
2015,North Carolina -- Statewide,2121,21356,652207547
2016,North Carolina -- Statewide,2097,20803,664851105
2017,North Carolina -- Statewide,2098,20416,670514063
2018,North Carolina -- Statewide,2113,19677,677636753
2000,North Dakota -- Statewide,315,1933,44600222
2001,North Dakota -- Statewide,333,2029,48362843
2002,North Dakota -- Statewide,343,2072,55425816
2003,North Dakota -- Statewide,349,2157,55963646
2004,North Dakota -- Statewide,361,2200,61839916
2005,North Dakota -- Statewide,373,2176,60280885
2006,North Dakota -- Statewide,381,2248,63021943
2007,North Dakota -- Statewide,389,2416,71862851
2008,North Dakota -- Statewide,422,2482,79014207
2009,North Dakota -- Statewide,452,2665,92361657
2010,North Dakota -- Statewide,498,2899,100875916
2011,North Dakota -- Statewide,553,3068,109773567
2012,North Dakota -- Statewide,597,3295,129258543
2013,North Dakota -- Statewide,662,3484,137048032
2014,North Dakota -- Statewide,724,3592,145626075
2015,North Dakota -- Statewide,755,3657,150812338
2016,North Dakota -- Statewide,789,3727,153855752
2017,North Dakota -- Statewide,819,3779,163620506
2018,North Dakota -- Statewide,843,3850,162969080
2000,Ohio -- Statewide,845,13393,259231618
2001,Ohio -- Statewide,886,12842,263073214
2002,Ohio -- Statewide,916,12702,265525650
2003,Ohio -- Statewide,930,12445,264718509
2004,Ohio -- Statewide,911,12291,277464368
2005,Ohio -- Statewide,912,12075,277148036
2006,Ohio -- Statewide,932,11968,279975572
2007,Ohio -- Statewide,926,11754,287424535
2008,Ohio -- Statewide,931,11900,296922398
2009,Ohio -- Statewide,922,11499,295872831
2010,Ohio -- Statewide,938,11703,302932488
2011,Ohio -- Statewide,972,11839,319014073
2012,Ohio -- Statewide,1017,12135,337154758
2013,Ohio -- Statewide,1068,12408,354232886
2014,Ohio -- Statewide,1115,13024,397733503
2015,Ohio -- Statewide,1146,13551,429572298
2016,Ohio -- Statewide,1182,14011,444908827
2017,Ohio -- Statewide,1184,13961,454620048
2018,Ohio -- Statewide,1199,14121,490532397
2000,Oklahoma -- Statewide,449,5773,115797792
2001,Oklahoma -- Statewide,460,5944,120614063
2002,Oklahoma -- Statewide,492,6004,122180988
2003,Oklahoma -- Statewide,513,5931,128766960
2004,Oklahoma -- Statewide,537,5961,131443730
2005,Oklahoma -- Statewide,547,6081,137329071
2006,Oklahoma -- Statewide,564,6121,144355801
2007,Oklahoma -- Statewide,584,6201,154750049
2008,Oklahoma -- Statewide,576,6092,160656039
2009,Oklahoma -- Statewide,590,9159,271478222
2010,Oklahoma -- Statewide,602,8999,273345276
2011,Oklahoma -- Statewide,616,8993,287484345
2012,Oklahoma -- Statewide,623,9226,308062375
2013,Oklahoma -- Statewide,640,9223,309039409
2014,Oklahoma -- Statewide,654,9226,318212547
2015,Oklahoma -- Statewide,679,9502,351173491
2016,Oklahoma -- Statewide,684,9645,355819218
2017,Oklahoma -- Statewide,699,9675,364964355
2018,Oklahoma -- Statewide,717,9712,378682291
2000,Oregon -- Statewide,1726,28470,522651201
2001,Oregon -- Statewide,1768,28353,532717683
2002,Oregon -- Statewide,1786,28269,543813417
2003,Oregon -- Statewide,1778,28924,573902673
2004,Oregon -- Statewide,1802,30437,611356521
2005,Oregon -- Statewide,1828,30229,641173508
2006,Oregon -- Statewide,1881,30506,685105537
2007,Oregon -- Statewide,1919,31057,723990794
2008,Oregon -- Statewide,1961,30722,727732350
2009,Oregon -- Statewide,2035,29621,713069752
2010,Oregon -- Statewide,2098,29040,696921579
2011,Oregon -- Statewide,2151,29100,714945529
2012,Oregon -- Statewide,2211,29683,758044283
2013,Oregon -- Statewide,2223,30694,806432174
2014,Oregon -- Statewide,2285,30378,842278768
2015,Oregon -- Statewide,2368,30220,891766305
2016,Oregon -- Statewide,2512,30458,942136146
2017,Oregon -- Statewide,2778,31740,1023995989
2018,Oregon -- Statewide,2870,31808,1082696901
2000,Pennsylvania -- Statewide,1070,18856,397304749
2001,Pennsylvania -- Statewide,1164,19324,412294874
2002,Pennsylvania -- Statewide,1154,19453,426178666
2003,Pennsylvania -- Statewide,1186,19923,454241987
2004,Pennsylvania -- Statewide,1194,19709,485857416
2005,Pennsylvania -- Statewide,1190,19797,478459050
2006,Pennsylvania -- Statewide,1190,19547,489972425
2007,Pennsylvania -- Statewide,1191,19124,504285117
2008,Pennsylvania -- Statewide,1227,19338,523564409
2009,Pennsylvania -- Statewide,1249,19187,521850636
2010,Pennsylvania -- Statewide,1270,19030,528582887
2011,Pennsylvania -- Statewide,1297,19116,542948151
2012,Pennsylvania -- Statewide,1332,18606,549397673
2013,Pennsylvania -- Statewide,1352,19225,578933874
2014,Pennsylvania -- Statewide,1429,19777,625723525
2015,Pennsylvania -- Statewide,1499,20238,668074890
2016,Pennsylvania -- Statewide,1540,20408,678425725
2017,Pennsylvania -- Statewide,1574,20417,702531518
2018,Pennsylvania -- Statewide,1625,20338,720666869
2000,Rhode Island -- Statewide,118,693,13431770
2001,Rhode Island -- Statewide,89,564,12542098
2002,Rhode Island -- Statewide,0,0,0
2003,Rhode Island -- Statewide,81,512,11646371
2004,Rhode Island -- Statewide,103,534,13068102
2005,Rhode Island -- Statewide,109,718,15923180
2006,Rhode Island -- Statewide,111,612,15380480
2007,Rhode Island -- Statewide,108,0,0
2008,Rhode Island -- Statewide,114,103,2335837
2009,Rhode Island -- Statewide,117,0,0
2010,Rhode Island -- Statewide,114,102,2338055
2011,Rhode Island -- Statewide,116,0,0
2012,Rhode Island -- Statewide,116,594,14675870
2013,Rhode Island -- Statewide,116,593,15014968
2014,Rhode Island -- Statewide,116,638,16354486
2015,Rhode Island -- Statewide,118,624,17206849
2016,Rhode Island -- Statewide,125,653,18811338
2017,Rhode Island -- Statewide,126,712,20473569
2018,Rhode Island -- Statewide,131,748,21663935
2000,South Carolina -- Statewide,460,6536,119813761
2001,South Carolina -- Statewide,462,6217,122489776
2002,South Carolina -- Statewide,471,6815,129366791
2003,South Carolina -- Statewide,432,6606,130046276
2004,South Carolina -- Statewide,408,6785,145617141
2005,South Carolina -- Statewide,418,6695,152532763
2006,South Carolina -- Statewide,451,6559,157709809
2007,South Carolina -- Statewide,386,6504,161242835
2008,South Carolina -- Statewide,384,6261,157461387
2009,South Carolina -- Statewide,375,6205,151043621
2010,South Carolina -- Statewide,373,6095,153741939
2011,South Carolina -- Statewide,377,5683,146367282
2012,South Carolina -- Statewide,370,5895,157182073
2013,South Carolina -- Statewide,379,5997,160499770
2014,South Carolina -- Statewide,386,5768,162950857
2015,South Carolina -- Statewide,407,5615,163295785
2016,South Carolina -- Statewide,415,5508,167769389
2017,South Carolina -- Statewide,436,5589,175123731
2018,South Carolina -- Statewide,459,5578,174588245
2000,South Dakota -- Statewide,289,2114,42158801
2001,South Dakota -- Statewide,297,2191,44146262
2002,South Dakota -- Statewide,307,2305,48466862
2003,South Dakota -- Statewide,324,2428,53589901
2004,South Dakota -- Statewide,349,2574,60138786
2005,South Dakota -- Statewide,363,2705,64882882
2006,South Dakota -- Statewide,370,2790,69382769
2007,South Dakota -- Statewide,385,2963,77827218
2008,South Dakota -- Statewide,411,3191,87748383
2009,South Dakota -- Statewide,445,3358,96848866
2010,South Dakota -- Statewide,473,3543,105029898
2011,South Dakota -- Statewide,512,3768,116920553
2012,South Dakota -- Statewide,556,3949,128272290
2013,South Dakota -- Statewide,596,4209,140541750
2014,South Dakota -- Statewide,648,4502,159970992
2015,South Dakota -- Statewide,712,4808,176039789
2016,South Dakota -- Statewide,759,4997,187833460
2017,South Dakota -- Statewide,793,5179,196696064
2018,South Dakota -- Statewide,814,5339,209654318
2000,Tennessee -- Statewide,356,4650,101052435
2001,Tennessee -- Statewide,251,3810,75476124
2002,Tennessee -- Statewide,366,4790,104079283
2003,Tennessee -- Statewide,268,3813,80911820
2004,Tennessee -- Statewide,375,4807,115544581
2005,Tennessee -- Statewide,377,4858,117530638
2006,Tennessee -- Statewide,388,5070,132611863
2007,Tennessee -- Statewide,404,5276,139524807
2008,Tennessee -- Statewide,413,5406,139449024
2009,Tennessee -- Statewide,428,5683,145197461
2010,Tennessee -- Statewide,436,5534,148332316
2011,Tennessee -- Statewide,423,5589,152049910
2012,Tennessee -- Statewide,426,5596,153714158
2013,Tennessee -- Statewide,440,5628,163496304
2014,Tennessee -- Statewide,469,5795,171947804
2015,Tennessee -- Statewide,483,5685,172957353
2016,Tennessee -- Statewide,536,5741,182536833
2017,Tennessee -- Statewide,543,5451,182558589
2018,Tennessee -- Statewide,565,5447,187456116
2000,Texas -- Statewide,7869,48469,914451931
2001,Texas -- Statewide,7883,46869,929900590
2002,Texas -- Statewide,7642,46434,941087593
2003,Texas -- Statewide,7495,45712,962277620
2004,Texas -- Statewide,7438,45734,1003958801
2005,Texas -- Statewide,7466,46268,1037863755
2006,Texas -- Statewide,7459,45520,1088930517
2007,Texas -- Statewide,7603,45759,1133140409
2008,Texas -- Statewide,7510,45580,1202237271
2009,Texas -- Statewide,7497,43759,1177056414
2010,Texas -- Statewide,7482,43507,1200630797
2011,Texas -- Statewide,7520,43306,1230625320
2012,Texas -- Statewide,7670,44457,1322214153
2013,Texas -- Statewide,7826,44832,1352949565
2014,Texas -- Statewide,7952,45671,1442064621
2015,Texas -- Statewide,8040,46408,1525895906
2016,Texas -- Statewide,8149,46331,1557674617
2017,Texas -- Statewide,8246,46610,1625604724
2018,Texas -- Statewide,8275,46325,1689057344
2000,Utah -- Statewide,249,3454,66394435
2001,Utah -- Statewide,264,3553,72263018
2002,Utah -- Statewide,272,3577,75022740
2003,Utah -- Statewide,278,3682,76666336
2004,Utah -- Statewide,285,3854,82297346
2005,Utah -- Statewide,290,3955,86865760
2006,Utah -- Statewide,300,3953,91293449
2007,Utah -- Statewide,292,3949,95330768
2008,Utah -- Statewide,295,3876,97461927
2009,Utah -- Statewide,300,3864,96909106
2010,Utah -- Statewide,276,3791,98070812
2011,Utah -- Statewide,295,3953,102121051
2012,Utah -- Statewide,314,4216,112111351
2013,Utah -- Statewide,330,4338,120753302
2014,Utah -- Statewide,339,4512,128956918
2015,Utah -- Statewide,359,4681,134776792
2016,Utah -- Statewide,369,4767,140913301
2017,Utah -- Statewide,378,4777,145181486
2018,Utah -- Statewide,358,4793,154033022
2000,Vermont -- Statewide,168,1607,28262958
2001,Vermont -- Statewide,192,1709,32262143
2002,Vermont -- Statewide,210,1626,31454293
2003,Vermont -- Statewide,216,1668,32690127
2004,Vermont -- Statewide,227,1782,36455976
2005,Vermont -- Statewide,230,1826,39098945
2006,Vermont -- Statewide,229,1822,40401899
2007,Vermont -- Statewide,232,1872,44813672
2008,Vermont -- Statewide,246,1971,49248487
2009,Vermont -- Statewide,254,1961,50660180
2010,Vermont -- Statewide,260,1942,49422968
2011,Vermont -- Statewide,270,2055,54345585
2012,Vermont -- Statewide,285,2216,60575514
2013,Vermont -- Statewide,299,2321,66038638
2014,Vermont -- Statewide,303,2498,72972600
2015,Vermont -- Statewide,324,2650,80491922
2016,Vermont -- Statewide,335,2728,84371999
2017,Vermont -- Statewide,343,2770,88626755
2018,Vermont -- Statewide,344,2824,93356832
2000,Virginia -- Statewide,871,9958,190613612
2001,Virginia -- Statewide,878,10084,201945980
2002,Virginia -- Statewide,873,9771,197942691
2003,Virginia -- Statewide,845,9229,196791737
2004,Virginia -- Statewide,843,9376,208225286
2005,Virginia -- Statewide,848,9334,218244728
2006,Virginia -- Statewide,840,8984,217277487
2007,Virginia -- Statewide,837,8757,221845286
2008,Virginia -- Statewide,840,8528,220399382
2009,Virginia -- Statewide,835,8485,212223049
2010,Virginia -- Statewide,831,8255,214235842
2011,Virginia -- Statewide,853,8452,225403707
2012,Virginia -- Statewide,867,8617,237075582
2013,Virginia -- Statewide,871,8352,235479495
2014,Virginia -- Statewide,870,8216,237548643
2015,Virginia -- Statewide,906,8314,249891939
2016,Virginia -- Statewide,940,8487,263954168
2017,Virginia -- Statewide,970,8882,283369780
2018,Virginia -- Statewide,995,8698,284952207
2000,Washington -- Statewide,8071,60729,927164180
2001,Washington -- Statewide,7737,56772,881625656
2002,Washington -- Statewide,7468,55150,892549168
2003,Washington -- Statewide,6974,57352,925763569
2004,Washington -- Statewide,6648,61195,1032307890
2005,Washington -- Statewide,6462,60409,1052540983
2006,Washington -- Statewide,6324,60927,1115448531
2007,Washington -- Statewide,6172,61483,1199057948
2008,Washington -- Statewide,5992,63477,1305136580
2009,Washington -- Statewide,5941,66511,1362292872
2010,Washington -- Statewide,5836,65451,1352747083
2011,Washington -- Statewide,5750,66018,1430834458
2012,Washington -- Statewide,5704,70584,1605587062
2013,Washington -- Statewide,5694,69174,1634430969
2014,Washington -- Statewide,5944,72903,1807928632
2015,Washington -- Statewide,6070,74910,1926795296
2016,Washington -- Statewide,6055,76590,2057048534
2017,Washington -- Statewide,5930,75082,2142432248
2018,Washington -- Statewide,5739,75354,2232368119
2000,West Virginia -- Statewide,138,1055,17745461
2001,West Virginia -- Statewide,138,1009,18715235
2002,West Virginia -- Statewide,132,1011,18586696
2003,West Virginia -- Statewide,131,989,18479966
2004,West Virginia -- Statewide,131,940,19298644
2005,West Virginia -- Statewide,112,789,16099052
2006,West Virginia -- Statewide,107,567,11546362
2007,West Virginia -- Statewide,104,593,12923584
2008,West Virginia -- Statewide,106,830,18491528
2009,West Virginia -- Statewide,120,900,21427693
2010,West Virginia -- Statewide,118,837,19640306
2011,West Virginia -- Statewide,120,534,12216837
2012,West Virginia -- Statewide,119,826,20132978
2013,West Virginia -- Statewide,113,832,20944032
2014,West Virginia -- Statewide,118,825,22409464
2015,West Virginia -- Statewide,118,824,22865847
2016,West Virginia -- Statewide,115,811,22674657
2017,West Virginia -- Statewide,115,799,22697926
2018,West Virginia -- Statewide,119,827,23229234
2000,Wisconsin -- Statewide,1180,12990,262977263
2001,Wisconsin -- Statewide,1253,13715,283737777
2002,Wisconsin -- Statewide,1291,14138,303317041
2003,Wisconsin -- Statewide,1337,14410,314791206
2004,Wisconsin -- Statewide,1339,14688,339909247
2005,Wisconsin -- Statewide,1405,15096,357007211
2006,Wisconsin -- Statewide,1446,15661,377612080
2007,Wisconsin -- Statewide,1517,16507,415639902
2008,Wisconsin -- Statewide,1597,17552,485352076
2009,Wisconsin -- Statewide,1652,18212,493095387
2010,Wisconsin -- Statewide,1701,18915,508089430
2011,Wisconsin -- Statewide,1753,19525,540087123
2012,Wisconsin -- Statewide,1817,20452,586512473
2013,Wisconsin -- Statewide,1857,21150,622453018
2014,Wisconsin -- Statewide,1860,21774,670459227
2015,Wisconsin -- Statewide,1972,22989,728376751
2016,Wisconsin -- Statewide,2038,23759,768061683
2017,Wisconsin -- Statewide,2093,24252,805284982
2018,Wisconsin -- Statewide,2141,24190,824403901
2000,Wyoming -- Statewide,258,1887,38392338
2001,Wyoming -- Statewide,280,1986,40519971
2002,Wyoming -- Statewide,294,1965,39830317
2003,Wyoming -- Statewide,299,1959,41268243
2004,Wyoming -- Statewide,303,2013,43864597
2005,Wyoming -- Statewide,315,2054,48822583
2006,Wyoming -- Statewide,327,2081,53304266
2007,Wyoming -- Statewide,331,2058,54296814
2008,Wyoming -- Statewide,340,2118,57791482
2009,Wyoming -- Statewide,355,2142,57520649
2010,Wyoming -- Statewide,366,2187,60987040
2011,Wyoming -- Statewide,372,2218,64371409
2012,Wyoming -- Statewide,382,2291,68467205
2013,Wyoming -- Statewide,389,2321,71917227
2014,Wyoming -- Statewide,389,2300,75466386
2015,Wyoming -- Statewide,384,2327,79069461
2016,Wyoming -- Statewide,398,2407,79838127
2017,Wyoming -- Statewide,406,2500,84556362
2018,Wyoming -- Statewide,412,2521,90078997
