year,statefip,foreignborn,hispanic,fhispanic,fiveorlessinUS,greaterthan15inUS,hispanlimenglish,fhispanlimenglish,hispanlessthanhs,fhispanlessthanhs,propforeignborn,prophispanic,propfhispanic,propfiveorlessinUS,propgreaterthan15inUS,totprophispanlimenglish,totpropfhispanlimenglish,totprophispanlessthanhs,totpropfhispanlessthanhs,prophispanlimenglish,propfhispanlimenglish,prophispanlessthanhs,propfhispanlessthanhs,yrsusa1
2000,Alabama,162,77,42,42,73,21,20,46,26,.030508475,.014500942,.0079096043,.25925925,.45061728,.0042304592,.004029009,.0086629,.0048964219,.27272728,.47619048,.59740257,.61904764,17.771605
2001,Alabama,406,245,96,154,187,64,57,137,54,.025200173,.015207001,.0059586619,.37931034,.46059114,.0042280504,.0037656075,.0085035069,.0033517473,.26122448,.59375,.55918366,.5625,17.258621
2002,Alabama,437,262,133,121,185,70,68,150,71,.029525032,.017701507,.0089858789,.27688786,.42334095,.0050337985,.0048899758,.01013445,.004796973,.26717559,.51127821,.57251906,.53383458,17.796339
2003,Alabama,489,261,132,146,216,68,65,132,60,.030530062,.016295187,.0082412437,.29856852,.4417178,.0044905236,.0042924122,.0082412437,.0037460199,.2605364,.49242425,.50574714,.45454547,18.247444
2004,Alabama,438,286,155,154,196,75,75,161,76,.027974708,.01826659,.0098997252,.35159817,.44748858,.0050830226,.0050830226,.01028294,.0048540588,.26223776,.48387095,.56293708,.49032259,18.609589
2005,Alabama,1423,974,471,439,600,250,233,582,278,.031251371,.021390609,.010343919,.30850315,.42164442,.0058272341,.0054309824,.012781657,.006105328,.25667351,.49469215,.59753591,.59023356,17.606464
2006,Alabama,1465,1032,499,409,675,298,277,604,265,.03115828,.021949042,.010612957,.27918088,.46075085,.0067031062,.0062307399,.012846144,.0056361393,.28875968,.55511022,.5852713,.53106213,18.233448
2007,Alabama,1503,1098,543,355,666,295,266,628,286,.031756427,.023199307,.011472882,.23619428,.44311377,.0066028023,.0059537133,.01326882,.0060428069,.26867032,.48987108,.57194901,.52670348,18.881571
2008,Alabama,1550,1159,554,373,723,302,279,652,280,.032873109,.024580603,.011749486,.24064516,.46645162,.0067750979,.006259114,.013827914,.0059383684,.26056945,.50361013,.56255394,.50541514,19.393549
2009,Alabama,1689,1314,621,411,730,342,319,784,326,.034955192,.027194271,.012852088,.24333926,.43220842,.0075080679,.0070031392,.016225502,.0067468286,.26027396,.51368761,.59665143,.52495974,18.359976
2010,Alabama,1593,1312,614,411,696,349,309,797,354,.033528373,.027614076,.012923051,.25800377,.43691149,.0077957469,.0069022514,.01677471,.0074507492,.26600611,.50325733,.6074695,.57654721,18.782171
2011,Alabama,1487,1221,512,266,795,233,211,683,248,.030609934,.025134318,.010539534,.17888366,.53463352,.0050651073,.0045868568,.014059573,.0051050866,.19082719,.41210938,.55937755,.484375,21.561533
2012,Alabama,1505,1261,498,251,786,221,195,729,255,.031472847,.026370272,.010414271,.1667774,.52225912,.0048706308,.0042976155,.015244986,.0053326082,.17525773,.39156628,.5781126,.51204818,21.716944
2013,Alabama,1513,1223,437,238,824,174,159,685,186,.031628899,.025566518,.0091353795,.15730338,.54461336,.0038333591,.003502897,.014319759,.003888285,.1422731,.36384439,.56009811,.42562929,22.85988
2014,Alabama,1504,1373,519,204,819,218,184,774,247,.031469043,.028728057,.010859331,.1356383,.54454786,.004789209,.0040422683,.016194841,.0051681208,.1587764,.35452795,.56372905,.47591522,22.969416
2015,Alabama,1525,1245,506,232,893,203,177,710,251,.032121494,.026223777,.010658016,.15213114,.58557379,.0044886679,.0039137644,.014954925,.0052868817,.16305222,.34980237,.57028115,.49604744,23.542952
2016,Alabama,1651,1407,537,283,919,197,166,804,248,.034641936,.029522231,.011267547,.17141126,.55663234,.004347634,.0036634887,.016869847,.005203634,.14001422,.30912477,.5714286,.46182495,22.509995
2017,Alabama,1732,1520,545,289,983,204,180,864,260,.036352187,.031902611,.011438766,.16685912,.56755197,.0044968589,.0039678165,.018134117,.005457026,.13421053,.33027524,.56842107,.47706422,22.513857
2018,Alabama,1686,1551,512,329,986,229,194,816,231,.035288945,.03246332,.010716453,.19513641,.58481616,.0050357338,.0042660804,.017079348,.0048349625,.14764668,.37890625,.5261122,.45117188,23.575327
2000,Alaska,176,70,22,36,95,9,9,36,12,.077498898,.030823426,.0096873622,.20454545,.53977275,.0042472864,.0042472864,.015852047,.005284016,.12857144,.40909091,.51428574,.54545456,20.556818
2001,Alaska,766,418,96,134,386,33,27,218,42,.081420071,.044430271,.010204081,.17493473,.50391644,.003790054,.0031009533,.023171769,.0044642859,.078947365,.28125,.52153111,.4375,19.63316
2002,Alaska,621,340,68,107,296,13,9,174,21,.073937371,.040481009,.0080962023,.17230274,.47665057,.0016752577,.0011597938,.020716753,.0025002977,.038235296,.13235295,.51176471,.30882353,19.529791
2003,Alaska,781,426,106,143,395,31,24,215,37,.083138175,.045348093,.011283798,.18309858,.50576186,.0035619901,.0027576697,.022886949,.0039386842,.072769955,.2264151,.50469482,.3490566,19.463509
2004,Alaska,751,374,100,156,399,33,24,180,29,.081321061,.040498104,.01082837,.20772304,.5312916,.0038260869,.0027826086,.019491067,.0031402274,.088235296,.23999999,.48128343,.28999999,20.448734
2005,Alaska,338,167,32,64,206,7,5,80,15,.055147659,.027247513,.00522108,.18934911,.60946745,.0012302285,.00087873463,.0130527,.0024473814,.041916169,.15625,.4790419,.46875,22.224852
2006,Alaska,424,264,73,79,234,22,21,128,27,.067014381,.041725937,.011537854,.18632075,.5518868,.0037574722,.0035866781,.020230757,.0042674253,.083333336,.28767124,.4848485,.369863,20.077829
2007,Alaska,454,251,57,69,272,20,17,130,24,.071093015,.03930473,.0089257751,.15198238,.59911895,.0033846674,.0028769674,.020357031,.0037582212,.079681277,.29824561,.5179283,.42105263,22.585903
2008,Alaska,410,249,53,72,233,8,8,113,14,.064414769,.03912019,.0083267875,.17560975,.56829268,.0013614704,.0013614704,.017753338,.0021995287,.032128513,.1509434,.45381525,.26415095,21.014635
2009,Alaska,478,270,71,91,261,13,12,122,22,.074028187,.041815083,.010995818,.19037656,.5460251,.0021867114,.0020185029,.018894223,.0034071549,.048148148,.16901408,.45185184,.30985916,21.817991
2010,Alaska,489,334,66,87,274,26,25,161,32,.070890114,.048419833,.0095679909,.17791411,.56032717,.0040758741,.0039191097,.023340099,.0046390258,.077844314,.37878788,.48203593,.4848485,21.251534
2011,Alaska,431,298,63,59,246,23,22,143,20,.061048158,.042209633,.0089235129,.13689095,.57076567,.0035642337,.0034092669,.020254958,.0028328612,.077181205,.34920636,.47986576,.31746033,21.960556
2012,Alaska,422,290,62,67,235,15,12,136,22,.060754392,.041750647,.0089260004,.15876777,.55687201,.002356638,.0018853103,.019579614,.0031672905,.05172414,.19354838,.46896553,.3548387,21.755924
2013,Alaska,364,262,36,82,204,8,7,102,5,.053941909,.03882632,.0053349142,.22527473,.56043959,.0012874155,.0011264886,.01511559,.0007409603,.030534351,.19444445,.38931298,.1388889,22.505495
2014,Alaska,442,266,47,78,234,10,7,111,12,.065124504,.039192572,.0069250036,.17647059,.52941179,.0016041065,.0011228746,.016354796,.001768086,.037593983,.14893617,.41729322,.25531915,21.190044
2015,Alaska,498,270,54,80,266,9,6,111,16,.075237952,.040791661,.0081583317,.16064256,.53413653,.0014698678,.00097991177,.016769905,.0024172836,.033333335,.11111111,.41111112,.2962963,21.228916
2016,Alaska,451,290,57,98,235,9,7,129,19,.066177547,.04255319,.0083639035,.2172949,.52106428,.001431753,.0011135858,.018928833,.0027879677,.031034483,.12280702,.44482759,.33333334,20.392462
2017,Alaska,466,298,56,86,269,15,15,141,21,.069077969,.044174325,.0083012152,.18454936,.57725322,.0023908194,.0023908194,.020901274,.0031129557,.050335571,.26785713,.47315437,.375,23.319742
2018,Alaska,480,316,63,85,293,14,10,114,17,.071524359,.047086872,.0093875723,.17708333,.61041665,.0022367791,.0015976994,.016987037,.0025331546,.044303797,.15873016,.3607595,.26984128,23.799999
2000,Arizona,779,1363,466,220,342,268,232,828,276,.1246799,.21814981,.074583866,.28241336,.43902439,.045859002,.039698835,.1325224,.044174135,.1966251,.49785408,.60748351,.59227467,17.992298
2001,Arizona,2221,3998,1299,571,1034,717,612,2381,727,.12098268,.21777971,.070759341,.2570914,.46555606,.041834414,.035708033,.12969822,.039601263,.17933968,.47113165,.5955478,.55966127,18.615488
2002,Arizona,2105,3940,1239,519,954,669,583,2329,708,.12235527,.22901651,.072018132,.24655582,.45320666,.041557956,.036215678,.1353755,.041153219,.16979696,.47054076,.59111673,.5714286,18.585274
2003,Arizona,2590,4572,1586,597,1181,828,723,2741,872,.13439883,.23724768,.082299829,.23050193,.45598456,.046241485,.040377527,.14223444,.045249339,.18110237,.4558638,.59951884,.54981083,18.333591
2004,Arizona,2530,4525,1465,574,1195,723,640,2669,840,.12988347,.23230146,.0752092,.22687747,.47233203,.039887454,.035308398,.13701935,.043123364,.15977901,.43686005,.58983427,.57337886,18.832411
2005,Arizona,7864,14434,4915,1838,3687,2603,2343,8453,2701,.13485381,.24751779,.084283635,.2337233,.46884537,.047887996,.043104716,.14495413,.046317413,.18033808,.47670397,.58563113,.54954219,18.545143
2006,Arizona,8377,15029,5268,1727,3944,2839,2564,8655,2846,.13916439,.24967191,.087515578,.20615973,.47081295,.050493553,.045602489,.14378271,.047279675,.18890145,.48671222,.57588661,.54024297,18.693804
2007,Arizona,8704,15613,5412,1732,4210,2853,2604,9120,2988,.14167589,.25413439,.088091671,.19898897,.48368567,.049817529,.045469627,.14844717,.048635978,.18273234,.48115298,.58412862,.55210644,19.052046
2008,Arizona,8221,15868,5012,1396,4332,2504,2250,9090,2732,.13358574,.25784436,.081441641,.16980903,.52694321,.043556917,.039138604,.1477064,.044393171,.15780187,.44892257,.572851,.54509181,20.286097
2009,Arizona,8065,15511,4795,1218,4346,2345,2121,8618,2459,.13025923,.25052088,.077444881,.15102294,.53887165,.040407348,.036547542,.13919082,.039715741,.15118302,.44233575,.55560571,.51282585,20.985865
2010,Arizona,8273,16298,4960,1226,4664,2357,2130,8972,2502,.13017686,.2564514,.078046322,.14819291,.56376165,.039600801,.035786893,.14117573,.039369334,.14461897,.42943549,.550497,.50443548,21.847818
2011,Arizona,8491,16625,4897,1177,4895,2180,1968,8938,2470,.13079779,.25609624,.075434789,.13861737,.57649279,.035727747,.032253306,.13768351,.038048584,.13112782,.40187871,.53762406,.50439042,22.370745
2012,Arizona,8749,17484,5121,1167,5143,2463,2221,9354,2576,.13267116,.26513004,.077655621,.13338667,.58783859,.039714277,.035812184,.14184548,.039062854,.14087166,.43370435,.53500342,.50302672,22.560293
2013,Arizona,8478,17060,4725,1131,5052,2181,1981,9115,2323,.1274274,.25641796,.071018457,.13340411,.59589523,.034823012,.031629704,.13700174,.034915529,.1278429,.41925925,.53429073,.49164021,22.854446
2014,Arizona,8688,16761,4692,1224,5205,2140,1920,8609,2304,.13128428,.25327531,.070900768,.14088398,.5991022,.034219742,.030701825,.13009052,.034815721,.12767735,.40920717,.51363283,.4910486,23.372698
2015,Arizona,8578,17415,4719,1238,5383,2023,1811,8881,2182,.12800311,.25987107,.070418119,.14432269,.62753558,.032026723,.028670488,.13252455,.03256036,.11616423,.38376775,.50996268,.4623861,24.084867
2016,Arizona,9003,17649,4808,1329,5761,2118,1876,8654,2150,.13162665,.25803387,.070294455,.14761746,.63989782,.032702345,.028965816,.12652417,.031433668,.1200068,.39018303,.4903394,.44717139,23.813728
2017,Arizona,8967,17828,4721,1396,5800,2020,1790,8569,2084,.13021506,.25889084,.068556406,.15568194,.64681607,.03097067,.027444307,.12443548,.030262986,.11330491,.37915695,.48064843,.44143191,23.795027
2018,Arizona,8810,18007,4679,1229,5937,1894,1705,8236,1846,.12587513,.2572796,.066852406,.13950057,.67389333,.02853398,.025686609,.11767396,.026375197,.10518132,.3643941,.45737767,.39452875,24.943359
2000,Arkansas,88,79,29,18,50,14,12,52,22,.022460438,.020163348,.0074017355,.20454545,.56818181,.0038126362,.0032679739,.013272078,.0056151096,.17721519,.41379312,.65822786,.75862068,19.65909
2001,Arkansas,304,231,120,101,129,60,58,148,72,.031656776,.024054984,.012496095,.33223686,.4243421,.0066592675,.0064372919,.01541185,.0074976571,.25974026,.48333332,.64069265,.60000002,16.351974
2002,Arkansas,272,263,118,75,100,64,63,179,75,.03107151,.030043408,.013479552,.27573529,.36764705,.0077991714,.0076773092,.020447796,.008567512,.24334601,.53389829,.68060839,.63559324,15.433824
2003,Arkansas,364,361,182,114,156,115,105,243,123,.037983932,.037670877,.018991966,.31318682,.42857143,.012784881,.011673152,.025357403,.012835229,.31855956,.57692307,.67313021,.67582417,17.085165
2004,Arkansas,337,313,148,106,143,77,73,179,77,.036935553,.034305129,.016220955,.31454006,.42433235,.0089576552,.0084923217,.019618588,.008439281,.24600638,.49324325,.57188499,.52027029,17.430267
2005,Arkansas,1008,1143,533,277,413,272,253,795,350,.036789663,.041716851,.019453265,.27480158,.40972221,.010532429,.0097967088,.029015658,.012774189,.23797025,.47467166,.69553804,.65666044,17.369047
2006,Arkansas,1021,1160,516,252,491,268,253,786,317,.036023002,.040927213,.018205553,.24681684,.48090106,.010028814,.0094675003,.027731715,.01118442,.23103449,.49031007,.6775862,.61434108,18.296768
2007,Arkansas,1099,1168,581,258,461,306,283,772,357,.038390331,.040800642,.020295525,.23475887,.41947225,.011367436,.010513021,.026967548,.012470745,.26198632,.48709121,.66095889,.61445785,17.349409
2008,Arkansas,1034,1280,544,217,476,272,242,874,349,.035870396,.044404358,.018871851,.2098646,.46034816,.010016941,.0089121312,.030319851,.012107125,.21250001,.44485295,.68281251,.6415441,18.790136
2009,Arkansas,1127,1402,588,204,547,269,245,941,345,.038970917,.048480239,.020332653,.18101153,.48535937,.0099108396,.009026601,.032539163,.011929873,.19186875,.41666666,.671184,.58673471,19.366459
2010,Arkansas,1085,1262,553,238,485,242,225,837,350,.037627883,.043766256,.019178081,.21935484,.44700462,.0089163994,.0082900412,.029027224,.012138027,.19175911,.40687162,.66323298,.63291138,18.291245
2011,Arkansas,954,1178,453,172,495,199,164,712,248,.032441255,.04005849,.015404495,.1802935,.51886791,.0071531273,.0058950395,.024211923,.0084333662,.1689304,.36203089,.60441428,.54746139,21.095388
2012,Arkansas,1032,1330,495,170,521,196,179,840,278,.035313442,.045510538,.016938133,.16472869,.50484496,.0070952796,.0064798724,.028743498,.009512729,.14736842,.36161616,.63157892,.56161618,20.146318
2013,Arkansas,1089,1361,525,236,526,200,185,859,291,.036801729,.045993716,.017741881,.21671258,.48301193,.0071225073,.0065883193,.029029097,.0098340716,.14695077,.35238096,.63115358,.55428571,18.927456
2014,Arkansas,1118,1523,591,157,596,220,197,939,306,.038067348,.051857401,.02012326,.14042933,.53309482,.0079022991,.0070761493,.031972487,.01041915,.14445174,.33333334,.61654627,.51776648,21.10465
2015,Arkansas,1175,1425,568,206,651,234,204,822,277,.039689243,.048133761,.019185949,.17531915,.55404258,.0083484966,.007278176,.02776558,.0093565276,.16421053,.35915494,.57684213,.48767605,21.317448
2016,Arkansas,1196,1527,568,245,689,207,190,871,276,.040406771,.051589582,.019189838,.2048495,.57608694,.0073915371,.0067845029,.02942667,.0093246391,.13555992,.33450705,.57039946,.48591548,21.293478
2017,Arkansas,1301,1669,587,248,775,219,199,955,278,.043336332,.055594418,.01955298,.1906226,.59569561,.0076917675,.0069893231,.031811066,.0092601841,.1312163,.33901194,.57219893,.47359455,21.339739
2018,Arkansas,1249,1757,625,205,760,228,211,1006,292,.040946793,.057600893,.020489788,.1641313,.60848677,.0079054125,.0073159738,.032980364,.0095728291,.12976664,.33759999,.57256687,.46720001,22.206566
2000,California,9337,10135,4217,1583,4627,2082,1845,6088,2424,.24478935,.26571062,.11055764,.16954054,.49555531,.058365103,.051721238,.15960988,.063550323,.20542674,.43751481,.60069066,.57481623,18.165577
2001,California,27268,29966,12148,4794,13985,6166,5546,17964,6836,.24501753,.2692605,.10915626,.17581047,.51287222,.059226956,.053271603,.16141611,.061425105,.20576653,.45653605,.59947944,.56272638,18.578003
2002,California,24704,26886,10826,4135,13207,5541,5066,15907,5986,.24665768,.26844391,.10809246,.16738179,.53460979,.059085093,.054020047,.15882382,.059767362,.20609239,.46794754,.59164619,.55292815,19.11237
2003,California,28510,32488,12903,4691,15279,6699,6039,19188,7038,.24937896,.2841748,.11286344,.16453876,.53591722,.062548436,.056386027,.16783877,.061561875,.20619921,.46803069,.59061807,.54545456,19.369696
2004,California,28278,32171,12812,4347,15761,6533,5930,18681,6975,.24606469,.27994013,.11148528,.15372375,.5573591,.06073311,.055127408,.16255514,.060693868,.20307109,.46284732,.58067822,.54441148,20.087029
2005,California,86135,102308,41369,13383,48912,21305,19585,60636,22880,.25720769,.30550188,.12353196,.15537238,.5678528,.067998007,.062508374,.18106514,.068321958,.20824373,.47342214,.59268093,.55307114,19.977779
2006,California,90310,109090,44458,12568,53268,22819,21032,63449,24196,.26122069,.31554163,.12859428,.1391651,.58983499,.070431404,.064915784,.18352553,.069986664,.20917591,.47307572,.58162069,.54424399,20.359949
2007,California,92023,111870,45598,12357,54990,23248,21542,64821,24552,.26446584,.32150432,.13104455,.13428165,.59756798,.07132645,.066092327,.18628973,.070560239,.20781264,.472433,.57943147,.5384447,20.627354
2008,California,91580,113104,44478,11587,56208,22865,21254,64791,24324,.26441538,.3265608,.12841959,.12652326,.61375844,.070403673,.06544324,.18706854,.070229739,.20215908,.47785422,.57284445,.54687709,21.291494
2009,California,94729,117561,46181,11352,59094,23546,21808,66706,24960,.26844916,.33315197,.1308707,.11983658,.62382162,.071170352,.06591706,.18903577,.070733264,.20028751,.47222883,.56741607,.54048204,21.771221
2010,California,99172,123256,47869,12148,61504,24023,22285,68971,25808,.27483955,.34158453,.13266137,.12249425,.62017506,.0709759,.065840982,.19114223,.071522795,.19490328,.46554136,.5595752,.53913808,21.900618
2011,California,101807,129120,49651,10575,65868,25185,23490,71689,26978,.27604261,.35009992,.13462524,.10387301,.64698893,.072530545,.067649104,.19437975,.073148973,.19505112,.47310224,.5552122,.5433526,22.875874
2012,California,101674,130679,49498,10103,66405,24371,22688,70639,26197,.27625275,.35506064,.13448825,.099366605,.65311682,.07025104,.065399684,.1919293,.071178406,.18649516,.45836195,.54055357,.52925372,23.305349
2013,California,101900,129170,48240,9967,67089,23219,21623,68146,25007,.27436504,.34778932,.12988587,.09781158,.65838075,.066203244,.061652642,.18348263,.067331173,.17975536,.44823799,.52756834,.51838726,23.843327
2014,California,102183,130444,48167,10055,67982,22956,21526,67547,24711,.27427775,.35013542,.12928899,.098401889,.66529655,.065173879,.061113998,.18130843,.066328816,.17598356,.44690347,.51782376,.51302761,24.183123
2015,California,103215,130594,47754,10926,69647,22625,21082,65815,23994,.27528185,.34830362,.12736335,.10585671,.67477596,.063660309,.059318744,.17553335,.06399373,.17324686,.44147086,.50396651,.50245005,24.476675
2016,California,103683,131347,47471,11513,71862,21984,20565,64937,23602,.275727,.3492946,.12624091,.11104038,.69309336,.061678309,.057697162,.17268871,.062765434,.16737345,.43321186,.49439272,.49718776,24.909136
2017,California,103351,131255,45974,12208,72623,20071,18708,62484,21834,.2737231,.3476263,.12176124,.11812174,.70268309,.056014646,.052210752,.16548765,.057826921,.15291607,.40692565,.47605044,.4749206,25.297346
2018,California,103522,130877,45437,12510,73063,19457,17983,60480,21023,.27327707,.34548873,.11994446,.12084388,.7057727,.054057583,.049962353,.15965493,.055496454,.14866631,.39577878,.46211329,.4626846,25.693022
2000,Colorado,458,776,193,128,188,96,83,411,95,.081552707,.13817663,.034366097,.27947599,.41048035,.018397853,.015906477,.07318376,.016915955,.12371134,.4300518,.52963918,.49222797,17.13537
2001,Colorado,1435,2271,575,411,636,327,287,1282,380,.085779183,.13575229,.034371451,.28641114,.44320557,.020873228,.018319929,.076633394,.022715045,.14398943,.49913043,.56450903,.66086954,17.377701
2002,Colorado,1403,2131,571,375,640,318,290,1209,356,.091448314,.13889976,.037218094,.26728439,.45616537,.022178825,.020225974,.078803286,.023204276,.14922571,.50788093,.5673393,.62346762,17.662865
2003,Colorado,1492,2342,601,378,668,322,278,1304,367,.088420056,.13879341,.035616927,.25335121,.44772118,.020460034,.017664252,.077278651,.021749437,.13748932,.46256238,.55678904,.61064893,18.441019
2004,Colorado,1411,2450,619,363,627,323,290,1365,352,.082514621,.14327486,.036198832,.25726435,.44436571,.020238096,.018170426,.079824559,.020584796,.13183673,.46849757,.55714285,.56865913,18.23175
2005,Colorado,4133,7100,1787,992,1861,925,814,3891,1041,.089664601,.15403306,.038768604,.24001935,.45027825,.021445794,.018872298,.08441446,.022584284,.13028169,.45551202,.54802817,.58254057,18.421244
2006,Colorado,4329,7813,1952,873,1999,1049,887,4310,1086,.090149939,.16270304,.040649731,.2016632,.46176946,.023338079,.019733915,.089754269,.022615576,.13426341,.45440573,.55164468,.55635244,18.489721
2007,Colorado,4337,7697,1923,779,2102,1028,887,4171,1062,.089874834,.15950347,.039849967,.17961724,.48466682,.022755446,.019634319,.086434849,.022007626,.13355853,.46125844,.54189944,.55226207,19.448467
2008,Colorado,4388,7808,1908,708,2172,934,807,4226,1114,.089905135,.15997705,.039092753,.16134913,.49498633,.020425569,.017648216,.086585939,.022824595,.1196209,.42295596,.54123974,.58385742,19.888788
2009,Colorado,4517,8277,1976,647,2237,981,859,4535,1132,.09137436,.16743536,.039972488,.14323667,.49524021,.021155464,.018524509,.091738477,.02289922,.11852121,.43471661,.54790384,.57287449,20.280939
2010,Colorado,4658,8552,2039,741,2317,969,860,4610,1077,.093663909,.17196517,.041000582,.15908115,.4974238,.020755688,.01842094,.092698716,.021656511,.11330683,.42177537,.53905517,.52820009,20.495062
2011,Colorado,4658,8848,2089,732,2484,939,842,4480,1076,.091647811,.17408755,.041101821,.15714899,.53327608,.019600885,.017576087,.088145599,.021170683,.10612568,.40306365,.50632912,.51507896,21.040361
2012,Colorado,4717,8681,1941,688,2559,826,720,4414,983,.0919099,.16914773,.037820037,.14585541,.5425058,.017087298,.014894498,.086006001,.01915358,.095150329,.3709428,.50846678,.50643998,21.699596
2013,Colorado,4848,8765,1959,658,2738,825,720,4331,961,.093039326,.16821156,.037595715,.13572608,.56476897,.016766248,.014632362,.083117433,.018442819,.094124362,.36753446,.49412435,.49055642,22.065594
2014,Colorado,4831,8847,1898,598,2820,822,727,4326,954,.091273218,.16714844,.035859358,.12378389,.5837301,.016450198,.014549021,.081732132,.018024145,.092912853,.38303477,.48897931,.50263435,22.777479
2015,Colorado,4904,8894,1957,765,2795,794,687,4226,903,.091543771,.16602576,.036531642,.1559951,.56994289,.015666002,.013554841,.07888744,.016856449,.089273669,.35104752,.47515178,.46142054,21.946371
2016,Colorado,4985,9229,1945,685,3102,791,701,4336,893,.091348886,.16911913,.03564164,.13741224,.62226683,.015320847,.01357764,.079456121,.016364003,.085708097,.36041132,.46982339,.45912597,23.009829
2017,Colorado,5286,9407,1984,876,3262,712,616,4275,871,.095071942,.16919065,.035683453,.16572078,.61710179,.013503262,.011682598,.076888487,.015665468,.075688317,.31048387,.45444882,.43901211,22.692394
2018,Colorado,4941,9014,1810,778,3124,608,545,3905,764,.088345729,.16117151,.032363039,.15745801,.63226068,.011471049,.010282436,.069821917,.013660421,.067450635,.30110496,.43321499,.42209944,23.587736
2000,Connecticut,421,306,61,65,250,39,11,178,18,.095055319,.069090091,.013772861,.1543943,.59382421,.0094706165,.0026711996,.040189657,.0040641227,.12745099,.18032786,.58169937,.29508197,24.315914
2001,Connecticut,1582,1020,275,340,831,157,86,552,104,.11847525,.076387331,.020594623,.21491782,.52528447,.012551967,.0068755997,.041339025,.0077885119,.15392157,.31272727,.5411765,.37818182,21.326801
2002,Connecticut,1366,858,226,321,709,142,92,472,105,.11392827,.07155963,.018849041,.23499268,.51903367,.012685367,.0082186889,.039366137,.0087572979,.16550116,.40707964,.55011654,.46460176,21.759151
2003,Connecticut,1472,1036,267,308,803,140,65,534,77,.11093526,.07807672,.020122088,.20923913,.54551631,.011234152,.0052158562,.040244177,.0058029993,.13513513,.24344569,.51544404,.2883895,22.400135
2004,Connecticut,1465,1019,222,310,754,159,72,526,68,.10977072,.076352462,.016634198,.21160409,.5146758,.012645141,.0057261013,.039412558,.0050951596,.15603533,.32432431,.51619232,.3063063,21.3843
2005,Connecticut,3863,2858,762,743,2012,435,260,1540,273,.11406384,.084388934,.022499779,.19233756,.52083874,.013664206,.0081671113,.045471992,.0080609443,.15220433,.34120736,.53883833,.35826772,21.608852
2006,Connecticut,4046,3001,776,710,2090,441,244,1595,265,.11536926,.085571714,.022127174,.17548196,.51655954,.013318032,.0073687071,.045480467,.007556316,.14695102,.31443298,.53148949,.34149486,22.182402
2007,Connecticut,4145,3194,788,681,2258,483,280,1671,259,.11776237,.090743795,.022387635,.16429433,.54475272,.014553453,.0084367841,.047474287,.0073583727,.15122104,.35532996,.52316844,.32868022,22.627985
2008,Connecticut,4336,3296,922,671,2387,505,289,1721,310,.12468369,.094778009,.026512537,.15475093,.55050737,.015355145,.0087874001,.049488153,.0089141941,.15321602,.31344903,.52214807,.3362256,22.567112
2009,Connecticut,4357,3555,910,756,2373,564,338,1857,325,.12352575,.10078816,.025799502,.17351389,.54464078,.016906982,.010132198,.052647993,.0092141079,.15864979,.37142858,.52236289,.35714287,22.568281
2010,Connecticut,4572,3862,1024,701,2458,627,386,2058,376,.12772377,.10788915,.028606549,.15332459,.53762031,.018468879,.011369996,.057492457,.010503967,.16235112,.37695313,.53288454,.3671875,22.643919
2011,Connecticut,4663,4132,961,654,2632,636,362,2142,334,.12762056,.11308774,.026301384,.14025305,.56444347,.018275337,.010402,.058623899,.0091411686,.15392062,.37669095,.51839304,.34755462,23.309029
2012,Connecticut,4714,4155,1052,750,2619,639,350,2126,315,.12957312,.11420797,.028916193,.15910055,.55557913,.018441558,.01010101,.058437098,.0086583653,.15379061,.33269963,.51167268,.29942966,22.927874
2013,Connecticut,4749,4029,999,614,2751,568,317,2045,330,.13053158,.11074158,.027458634,.12929037,.57927984,.016397702,.0091515342,.056209113,.0090704197,.1409779,.31731731,.50757009,.33033034,23.961254
2014,Connecticut,4704,4053,1054,703,2730,613,357,1958,334,.13072114,.11263026,.029289981,.14944728,.58035713,.017813036,.010373986,.05441156,.0092816455,.151246,.33870968,.48309892,.31688803,23.384779
2015,Connecticut,4869,4167,1074,789,2854,562,319,1972,347,.13605499,.11643893,.030010898,.1620456,.58615732,.016389141,.0093027325,.055103809,.0096962582,.13486922,.29702049,.47324213,.32309124,23.866913
2016,Connecticut,4887,4191,1005,763,3032,558,304,1935,330,.13705584,.11753653,.028185209,.15612851,.62042153,.016314836,.0088883694,.054267045,.0092548449,.13314244,.30248755,.46170366,.3283582,24.192347
2017,Connecticut,4962,4446,1204,822,3036,641,360,2087,413,.13791762,.12357552,.033464894,.16565901,.61185008,.0186527,.010475775,.058007672,.011479237,.14417455,.29900333,.46941072,.34302327,23.871424
2018,Connecticut,5008,4545,1196,871,3102,666,413,1992,364,.13801086,.12525147,.032959461,.17392172,.61940897,.019179266,.011893448,.054895692,.01003114,.14653465,.34531772,.43828383,.30434781,24.034145
2000,Delaware,194,104,40,57,84,17,15,67,19,.065807328,.035278156,.013568521,.29381442,.43298969,.0061305445,.0054093041,.022727273,.0064450474,.16346154,.375,.64423078,.47499999,17.969072
2001,Delaware,664,345,114,184,298,63,44,186,59,.066733666,.034673367,.011457287,.27710843,.44879517,.0067078364,.004684838,.018693468,.0059296484,.18260869,.3859649,.53913045,.51754385,19.709337
2002,Delaware,580,412,120,166,267,77,54,237,57,.061071917,.043382119,.012635569,.2862069,.46034482,.0086226203,.0060470323,.024955248,.0060018953,.18689321,.44999999,.5752427,.47499999,18.382759
